[0;32mI (13) boot: ESP-IDF v5.1-beta1-378-gea5e0ff298-dirt 2nd stage bootloader[0m
[0;32mI (13) boot: compile time Jun  7 2023 07:48:23[0m
[0;32mI (15) boot: Multicore bootloader[0m
[0;32mI (19) boot: chip revision: v3.1[0m
[0;32mI (23) boot.esp32: SPI Speed      : 40MHz[0m
[0;32mI (27) boot.esp32: SPI Mode       : DIO[0m
[0;32mI (32) boot.esp32: SPI Flash Size : 4MB[0m
[0;32mI (36) boot: Enabling RNG early entropy source...[0m
[0;32mI (42) boot: Partition Table:[0m
[0;32mI (45) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (53) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (60) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (67) boot:  2 factory          factory app      00 00 00010000 003f0000[0m
[0;32mI (75) boot: End of partition table[0m
[0;32mI (79) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b100h ( 45312) map[0m
[0;32mI (104) esp_image: segment 1: paddr=0001b128 vaddr=3ffb0000 size=01f6ch (  8044) load[0m
[0;32mI (107) esp_image: segment 2: paddr=0001d09c vaddr=40080000 size=013f4h (  5108) load[0m
[0;32mI (112) esp_image: segment 3: paddr=0001e498 vaddr=00000000 size=01b80h (  7040) [0m
[0;32mI (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=10740h ( 67392) map[0m
[0;32mI (152) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (152) boot: Disabling RNG early entropy source...[0m
tap_trace,ms,tap_src,seq,int1,int2,pgood,batt_pct,gx,gy,gz,ax,ay,az
tap_trace,12823,0x00,0,0,0,-1,100,0,0,0,-93,16300,-411
tap_trace,12877,0x00,0,0,0,-1,100,0,0,0,-110,16287,-497
tap_trace,12931,0x00,0,0,0,-1,100,0,0,0,-92,16287,-426
tap_trace,12985,0x00,0,0,0,-1,100,0,0,0,-106,16322,-444
tap_trace,13039,0x00,0,0,0,-1,100,0,0,0,-90,16306,-437
tap_trace,13109,0x00,0,0,0,-1,100,0,0,0,-103,16295,-429
tap_trace,13163,0x00,0,0,0,-1,100,0,0,0,-102,16314,-457
tap_trace,13217,0x00,0,0,0,-1,100,0,0,0,-121,16294,-446
tap_trace,13272,0x00,0,0,0,-1,100,0,0,0,-119,16312,-439
tap_trace,13326,0x00,0,0,0,-1,100,0,0,0,-110,16272,-421
tap_trace,13395,0x00,0,0,0,-1,100,0,0,0,-87,16283,-416
tap_trace,13450,0x00,0,0,0,-1,100,0,0,0,-80,16330,-444
tap_trace,13504,0x00,0,0,0,-1,100,0,0,0,-88,16285,-452
tap_trace,13558,0x00,0,0,0,-1,100,0,0,0,-110,16314,-455
tap_trace,13612,0x00,0,0,0,-1,100,0,0,0,-88,16312,-458
tap_trace,13682,0x00,0,0,0,-1,100,0,0,0,-122,16298,-425
tap_trace,13736,0x00,0,0,0,-1,100,0,0,0,-102,16301,-460
tap_trace,13790,0x00,0,0,0,-1,100,0,0,0,-97,16302,-458
tap_trace,13844,0x00,0,0,0,-1,100,0,0,0,-83,16317,-404
tap_trace,13898,0x00,0,0,0,-1,100,0,0,0,-109,16315,-431
tap_trace,13968,0x00,0,0,0,-1,100,0,0,0,-114,16265,-424
tap_trace,14022,0x00,0,0,0,-1,100,0,0,0,-94,16303,-398
tap_trace,14077,0x00,0,0,0,-1,100,0,0,0,-91,16293,-472
tap_trace,14131,0x00,0,0,0,-1,100,0,0,0,-80,16296,-442
tap_trace,14185,0x00,0,0,0,-1,100,0,0,0,-149,16309,-428
tap_trace,14255,0x00,0,0,0,-1,100,0,0,0,-74,16289,-433
tap_trace,14309,0x00,0,0,0,-1,100,0,0,0,-120,16316,-427
tap_trace,14363,0x00,0,0,0,-1,100,0,0,0,-114,16305,-460
tap_trace,14417,0x00,0,0,0,-1,100,0,0,0,-85,16312,-445
tap_trace,14471,0x00,0,0,0,-1,100,0,0,0,-84,16313,-422
tap_trace,14541,0x00,0,0,0,-1,100,0,0,0,-112,16283,-476
tap_trace,14595,0x00,0,0,0,-1,100,0,0,0,-122,16283,-424
tap_trace,14649,0x00,0,0,0,-1,100,0,0,0,-105,16280,-442
tap_trace,14704,0x00,0,0,0,-1,100,0,0,0,-83,16314,-482
tap_trace,14758,0x00,0,0,0,-1,100,0,0,0,-112,16325,-420
tap_trace,14827,0x00,0,0,0,-1,100,0,0,0,-118,16292,-469
tap_trace,14882,0x00,0,0,0,-1,100,0,0,0,-104,16297,-417
tap_trace,14936,0x00,0,0,0,-1,100,0,0,0,-132,16303,-450
tap_trace,14990,0x00,0,0,0,-1,100,0,0,0,-65,16280,-447
tap_trace,15044,0x00,0,0,0,-1,100,0,0,0,-120,16326,-443
tap_trace,15114,0x00,0,0,0,-1,100,0,0,0,-77,16305,-417
tap_trace,15168,0x00,0,0,0,-1,100,0,0,0,-104,16291,-467
tap_trace,15222,0x00,0,0,0,-1,100,0,0,0,-127,16313,-384
tap_trace,15276,0x00,0,0,0,-1,100,0,0,0,-61,16315,-443
tap_trace,15330,0x00,0,0,0,-1,100,0,0,0,-108,16324,-445
tap_trace,15400,0x00,0,0,0,-1,100,0,0,0,-66,16295,-424
tap_trace,15455,0x00,0,0,0,-1,100,0,0,0,-130,16292,-468
tap_trace,15509,0x00,0,0,0,-1,100,0,0,0,-118,16298,-408
tap_trace,15563,0x00,0,0,0,-1,100,0,0,0,-97,16309,-443
tap_trace,15617,0x00,0,0,0,-1,100,0,0,0,-101,16264,-443
tap_trace,15687,0x00,0,0,0,-1,100,0,0,0,-100,16286,-388
tap_trace,15741,0x00,0,0,0,-1,100,0,0,0,-96,16318,-467
tap_trace,15795,0x00,0,0,0,-1,100,0,0,0,-135,16315,-431
tap_trace,15849,0x00,0,0,0,-1,100,0,0,0,-78,16310,-464
tap_trace,15903,0x00,0,0,0,-1,100,0,0,0,-94,16266,-428
tap_trace,15973,0x00,0,0,0,-1,100,0,0,0,-95,16295,-449
tap_trace,16027,0x00,0,0,0,-1,100,0,0,0,-108,16316,-432
tap_trace,16081,0x00,0,0,0,-1,100,0,0,0,-118,16289,-461
tap_trace,16136,0x00,0,0,0,-1,100,0,0,0,-92,16302,-431
tap_trace,16190,0x00,0,0,0,-1,100,0,0,0,-75,16279,-434
tap_trace,16259,0x00,0,0,0,-1,100,0,0,0,-66,16272,-455
tap_trace,16314,0x00,0,0,0,-1,100,0,0,0,-94,16317,-410
tap_trace,16368,0x00,0,0,0,-1,100,0,0,0,-81,16286,-460
tap_trace,16422,0x00,0,0,0,-1,100,0,0,0,-94,16297,-430
tap_trace,16476,0x00,0,0,0,-1,100,0,0,0,-83,16336,-456
tap_trace,16546,0x00,0,0,0,-1,100,0,0,0,-107,16305,-428
tap_trace,16600,0x00,0,0,0,-1,100,0,0,0,-99,16296,-448
tap_trace,16654,0x00,0,0,0,-1,100,0,0,0,-118,16289,-425
tap_trace,16708,0x00,0,0,0,-1,100,0,0,0,-84,16316,-462
tap_trace,16762,0x00,0,0,0,-1,100,0,0,0,-134,16290,-441
tap_trace,16832,0x00,0,0,0,-1,100,0,0,0,-106,16290,-437
tap_trace,16886,0x00,0,0,0,-1,100,0,0,0,-73,16297,-451
tap_trace,16941,0x00,0,0,0,-1,100,0,0,0,-88,16294,-435
tap_trace,16995,0x00,0,0,0,-1,100,0,0,0,-75,16292,-421
tap_trace,17049,0x00,0,0,0,-1,100,0,0,0,-89,16307,-447
tap_trace,17119,0x00,0,0,0,-1,100,0,0,0,-95,16301,-436
tap_trace,17173,0x00,0,0,0,-1,100,0,0,0,-121,16324,-440
tap_trace,17227,0x00,0,0,0,-1,100,0,0,0,-82,16313,-440
tap_trace,17281,0x00,0,0,0,-1,100,0,0,0,-84,16291,-452
tap_trace,17335,0x00,0,0,0,-1,100,0,0,0,-98,16283,-452
tap_trace,17405,0x00,0,0,0,-1,100,0,0,0,-79,16288,-410
tap_trace,17459,0x00,0,0,0,-1,100,0,0,0,-126,16295,-454
tap_trace,17513,0x00,0,0,0,-1,100,0,0,0,-135,16299,-439
tap_trace,17568,0x00,0,0,0,-1,100,0,0,0,-108,16287,-451
tap_trace,17622,0x00,0,0,0,-1,100,0,0,0,-107,16299,-486
tap_trace,17691,0x00,0,0,0,-1,100,0,0,0,-103,16313,-400
tap_trace,17746,0x00,0,0,0,-1,100,0,0,0,-83,16270,-500
tap_trace,17800,0x00,0,0,0,-1,100,0,0,0,-100,16268,-400
tap_trace,17854,0x00,0,0,0,-1,100,0,0,0,-91,16300,-459
tap_trace,17908,0x00,0,0,0,-1,100,0,0,0,-127,16277,-438
tap_trace,17978,0x00,0,0,0,-1,100,0,0,0,-133,16301,-412
tap_trace,18032,0x00,0,0,0,-1,100,0,0,0,-117,16274,-434
tap_trace,18086,0x00,0,0,0,-1,100,0,0,0,-93,16292,-417
tap_trace,18140,0x00,0,0,0,-1,100,0,0,0,-95,16265,-491
tap_trace,18194,0x00,0,0,0,-1,100,0,0,0,-119,16281,-406
tap_trace,18264,0x00,0,0,0,-1,100,0,0,0,-99,16309,-415
tap_trace,18319,0x00,0,0,0,-1,100,0,0,0,-94,16287,-454
tap_trace,18373,0x00,0,0,0,-1,100,0,0,0,-93,16301,-422
tap_trace,18427,0x00,0,0,0,-1,100,0,0,0,-112,16322,-443
tap_trace,18481,0x00,0,0,0,-1,100,0,0,0,-82,16298,-417
tap_trace,18551,0x00,0,0,0,-1,100,0,0,0,-107,16279,-402
tap_trace,18605,0x00,0,0,0,-1,100,0,0,0,-79,16329,-432
tap_trace,18659,0x00,0,0,0,-1,100,0,0,0,-97,16307,-436
